Image_id;Collection;Wild;latin_name;length;width;color;posture;accessories;eye_diameter;head_height;roundness;muzzle_length;head_depth;hair_length;ear_length;smile;famous_character;file;URL;Source
21;nuit_science;NO;Nunursus yinyangus;21;17;13;1;2;1,1;6,2;28;3;8,7;3;1,8;0;1;https://nounours.umontpellier.fr/IMG/jpg/1.jpg;https://nounours.umontpellier.fr/IMG/jpg/1.jpg;nuit_science
22;nuit_science;NO;Nunursus morris;23;19,2;8;2;0;1,1;6,6;21,7;2,4;8;3;2,1;0;1;https://nounours.umontpellier.fr/IMG/jpg/2.jpg;https://nounours.umontpellier.fr/IMG/jpg/2.jpg;nuit_science
23;nuit_science;NO;Nunursus longusmembrum;30;37;2;2;9;0,8;6,1;21;2;6,7;4;1,4;1;1;https://nounours.umontpellier.fr/IMG/jpg/3.jpg;https://nounours.umontpellier.fr/IMG/jpg/3.jpg;nuit_science
24;nuit_science;NO;Nunursus hirsutus;23,5;19,3;8;1;9;1,2;4,8;19,5;2,5;6,5;6;1,5;1;1;https://nounours.umontpellier.fr/IMG/jpg/4.jpg;https://nounours.umontpellier.fr/IMG/jpg/4.jpg;nuit_science
25;nuit_science;NO;Nunursus marinierus;28;28,2;9;1;3;1,3;8,2;31;3,7;10,5;3;2,2;1;1;https://nounours.umontpellier.fr/IMG/jpg/5.jpg;https://nounours.umontpellier.fr/IMG/jpg/5.jpg;nuit_science
26;nuit_science;Ursus arctos arctos;Nunursus brunneis;37,5;35;10;2;0;1,3;9,2;41,5;4,8;13,6;3;4;0;1;https://nounours.umontpellier.fr/IMG/jpg/6.jpg;https://nounours.umontpellier.fr/IMG/jpg/6.jpg;nuit_science
27;nuit_science;NO;Nunursus albus;43;27;7;2;0;1,3;9,2;41,5;4,8;13,6;3;4;-1;1;https://nounours.umontpellier.fr/IMG/jpg/7.jpg;https://nounours.umontpellier.fr/IMG/jpg/7.jpg;nuit_science
28;nuit_science;NO;Nunursus delicatum;32,6;27,3;7;4;0;1,1;7,5;35;4,3;9,8;6;3;-1;1;https://nounours.umontpellier.fr/IMG/jpg/8.jpg;https://nounours.umontpellier.fr/IMG/jpg/8.jpg;nuit_science
132;nuit_science;Thalarctos maritimus;Nunursus oreli orea;40;33;7;1;9;1;15;62;7;17;5;5;1;1;https://nounours.umontpellier.fr/IMG/jpg/image-26-r90.jpg;https://nounours.umontpellier.fr/IMG/jpg/image-26-r90.jpg;nuit_science
133;nuit_science;NO;Nunursus nasa astral;30;27;7;1;4;0,7;10;25;3;10;2;3;1;1;https://nounours.umontpellier.fr/IMG/jpg/image-29-r90.jpg;https://nounours.umontpellier.fr/IMG/jpg/image-29-r90.jpg;nuit_science
138;nuit_science;NO;Nunursus maxinasus;32;31;9;2;7;1;10;30;5;11;4;3;-1;1;https://nounours.umontpellier.fr/IMG/jpg/156959335897724918974110073095.jpg;https://nounours.umontpellier.fr/IMG/jpg/156959335897724918974110073095.jpg;nuit_science
141;nuit_science;NO;Nunursus superflexum;25;30;8;1;3;1;12;35;3;13;2;3;-1;1;https://nounours.umontpellier.fr/IMG/jpg/img_20190927_160248891.jpg;https://nounours.umontpellier.fr/IMG/jpg/img_20190927_160248891.jpg;nuit_science
143;nuit_science;NO;Nunursus croutdepus;17;15;8;1;3;1;7;20;1;7;2;2;0;1;https://nounours.umontpellier.fr/IMG/jpg/15695937599233377579581263705952.jpg;https://nounours.umontpellier.fr/IMG/jpg/15695937599233377579581263705952.jpg;nuit_science
144;nuit_science;NO;Nunursus kikou;42;37;8;1;0;0,9;12;34;3;10;5;4;0;1;https://nounours.umontpellier.fr/IMG/jpg/4f601226-71c9-494f-9e97-118004f4e060.jpg;https://nounours.umontpellier.fr/IMG/jpg/4f601226-71c9-494f-9e97-118004f4e060.jpg;nuit_science
148;nuit_science;NO;Nunursus canelle;19;22;9;1;7;1;8;34;4;10;3;5;0;1;https://nounours.umontpellier.fr/IMG/jpg/20190927_184902.jpg;https://nounours.umontpellier.fr/IMG/jpg/20190927_184902.jpg;nuit_science
150;nuit_science;NO;Nunursus kikinus;33;27;9;2;0;1,2;11;26,5;1;7;3;3;0;10;https://nounours.umontpellier.fr/IMG/jpg/image-35.jpg;https://nounours.umontpellier.fr/IMG/jpg/image-35.jpg;nuit_science
152;nuit_science;NO;Nunursus mimi;21;22;9;1;0;0,7;10;31;2,4;9;2;3;1;1;https://nounours.umontpellier.fr/IMG/jpg/image-36-r90.jpg;https://nounours.umontpellier.fr/IMG/jpg/image-36-r90.jpg;nuit_science
157;nuit_science;NO;Nunursus pilotus;11;10;9;2;3,4,9;0,66;4,5;16;1,5;4,5;1;1;-1;1;https://nounours.umontpellier.fr/IMG/jpg/156959657484685749347.jpg;https://nounours.umontpellier.fr/IMG/jpg/156959657484685749347.jpg;nuit_science
158;nuit_science;NO;Nunursus etoile;28;20;8;1;3,4,7,8;1;8;23;4;9;1;2;0;1;https://nounours.umontpellier.fr/IMG/jpg/image-38-r90.jpg;https://nounours.umontpellier.fr/IMG/jpg/image-38-r90.jpg;nuit_science
164;nuit_science;NO;Nunursus radar;25;22;7;1;0;1,2;10;31;3;10;2;6;0;1;https://nounours.umontpellier.fr/IMG/jpg/9b6e0295-29a1-43eb-a63c-8a5adc10fbe6-r90.jpg;https://nounours.umontpellier.fr/IMG/jpg/9b6e0295-29a1-43eb-a63c-8a5adc10fbe6-r90.jpg;nuit_science
166;nuit_science;NO;Nunursus polaris;37;27;7;2;0;0,8;12;35;3,5;9,5;4;4;1;1;https://nounours.umontpellier.fr/IMG/jpg/image-41.jpg;https://nounours.umontpellier.fr/IMG/jpg/image-41.jpg;nuit_science
169;nuit_science;NO;Nunursus inconnu;17;15;10;1;4.7;1;6;27;2,8;6;3;0,7;0;1;https://nounours.umontpellier.fr/IMG/jpg/1569598014291-807304786.jpg;https://nounours.umontpellier.fr/IMG/jpg/1569598014291-807304786.jpg;nuit_science
177;nuit_science;NO;Nunursus wini;90;70;4;1;3;2;28;85;8;20;2;7;0;2;https://nounours.umontpellier.fr/IMG/jpg/image-44-r90.jpg;https://nounours.umontpellier.fr/IMG/jpg/image-44-r90.jpg;nuit_science
180;nuit_science;NO;Nunursus camomille;40;36;14;1;3.9;1,5;11;35;3;8;3;4,5;1;10;https://nounours.umontpellier.fr/IMG/jpg/15695989805925216049376367463254.jpg;https://nounours.umontpellier.fr/IMG/jpg/15695989805925216049376367463254.jpg;nuit_science
