"Image_id";"Lenght";"HeadHei";"HeadLat";"HeadFron";"SnoutLen";"SnoutHei";"SnoutWid";"EarLen";"TruffleWid";"TruffleHei";"EyeDia";"HeadBodyLen";"ChestLen";"ChestHigh";"FrontLeg";"HindLeg"
21;21;8,43;9,96;8,3;2,5;4,42;5,37;0,68;1,81;0,71;0,8;18,65;7,3;8,16;6,72;5,3
22;23;9,12;9,02;6,76;2,12;4,1;4,41;2,3;0,84;0,91;0,87;17,06;6,19;8,64;6,81;7,22
23;30;6,01;7;4,01;2,2;3,62;3,79;1,37;0,96;1,16;0,5;14,73;4,39;5,8;8,44;12,91
24;23,5;9,11;11,07;8,35;3,43;4,96;6;2,01;2,73;2,24;1,42;16,25;10,19;10,38;9,25;7,8
25;28;8,68;10,53;10,06;4,1;4,62;5,68;2,38;2,26;1,81;1,06;20,14;9,05;7,2;9,97;7,76
26;37,5;10,5;12,94;10,48;6,3;5,68;6,44;2,77;2,78;2,59;1,01;26,64;12,18;11,89;9,65;12,74
27;43;13,07;14,6;11,71;6,6;6,57;6,51;2,98;3,39;2,14;1,22;29,14;14,64;13,78;9,03;13,31
28;32,6;14,07;19,56;11,62;6,93;7,93;9,86;4,16;2,89;2,05;1,18;24,19;15,82;16,02;10,41;6,66
132;40;11,99;15,04;14,45;6,59;6,98;6,97;3,19;4,16;3,31;1,02;29,49;15,55;17,34;12,68;12,43
133;30;8,8;13;6,87;2,32;4,19;4,82;1,92;2,36;1,01;0,62;23,33;12,1;8,04;9,83;11,16
138;32;10,72;11,72;10,58;3,67;4,65;5,5;3,27;1,1;1,24;0,79;23,37;8,49;6,53;12,75;10,51
141;25;9,57;10,02;9,08;1,93;4,35;5,28;2,37;1,99;1,54;1,07;19,62;9,83;8,47;7,26;8,39
143;17;7,05;7,21;5,56;1,4;2,36;3,68;1,79;1,59;0,95;1,03;13,17;6,22;2,5;3,55;4,41
144;42;14,45;14,64;10,39;3,42;6,68;8,31;5,31;1,98;2,18;1,04;31,56;12,31;11,33;17,52;13,34
148;19;9,76;11,44;8,53;3,22;4,47;5,55;2,23;1,78;1,06;1,01;14,44;10,05;6,01;6,19;6,74
150;33;10,59;10,12;7,18;1,88;4,02;6,45;1,81;1,47;0,82;1,43;24,65;7,8;4,33;9,28;10,2
152;21;8,36;10,5;8,13;2,55;4,39;5,28;2,52;1,07;1,04;0,72;18,65;9,81;8,91;8,01;7,33
157;11;4,48;4,75;4,57;0,74;1,65;2,02;0,51;0,8;0,51;0,6;8,47;4,04;2,96;3,21;3,49
158;28;8,76;8,42;8,55;1,77;4,43;4,08;1,61;1,39;0,68;0,58;17,38;8,2;6,63;6,17;5,97
164;25;9,26;9,88;8,84;2,28;3,9;4,13;4,92;1,45;1,01;1,03;18,69;7,55;7,13;4,84;5,51
166;37;10,03;12,68;8,46;4,57;4,51;5;3,33;3,65;1,95;0,76;25,59;11;12;7,77;11,77
169;17;6,11;4,78;5,62;1,32;3,16;2,96;0,32;0,77;0,62;0,68;13,8;5,6;4,72;3,83;3,91
177;90;31,7;27,32;25,66;12,17;12,69;12,43;5,93;7,64;4,72;2,07;68,31;32,34;32,15;26,28;24,58
180;40;11,96;13,7;8,25;3,23;4,96;7,58;3,28;1,7;1,25;0,85;25,86;11,47;13,79;13,74;10,73
182;26;12,44;16,09;11,08;4,5;4,48;6,04;3,14;1,92;1,47;1,01;18,35;12,63;13,85;7,08;7,12
185;33;9,43;12,02;8,15;3,1;4,33;5,82;3,02;1,68;1,46;1,35;20,96;15,19;11,37;9,57;11,8
189;40;15,71;18,5;16,25;4,38;8,44;12,14;4,19;3,9;3,64;1,43;33,34;13,57;12,79;11,25;11,19
195;22;6,67;5,88;6,45;0,92;2,35;2,57;2,45;0,82;0,53;0,27;15,64;7,23;5,68;1,47;0,57
196;37;9,39;12,61;9,43;5,33;4,88;5,78;2,92;1,97;1,37;0,69;24,46;9,09;14,45;11,43;10,98
198;43;16,8;17,4;16,71;3,65;8,18;8,88;4,05;2,89;1,74;1,66;31,39;14,49;13,66;13,31;12,02
200;42;15,52;16,76;13,04;3,37;5,09;8,65;5,07;3,67;2,28;2,54;28,8;14,43;10,5;12,36;12,65
202;27;9,14;10,06;10,32;2,79;4,2;4,81;2,54;1,47;1,11;0,98;18,27;10,1;9,97;6,52;8,77
206;30;10,99;10,48;10,63;3,87;5,22;6,8;3,56;2,19;3,18;1,2;22,25;11,17;10,52;9,72;9,97
209;25;16,23;18,74;15,05;4,28;6,28;9,33;2,78;3,41;2,93;1,02;18,34;15,42;15,42;8,49;3,74
210;28;11,1;9,85;9,43;1,78;3,49;4,18;4,07;1,1;0,81;1,37;19,74;7,62;6,69;7,97;6,22
215;25;8,15;7,38;7,18;1,74;3,74;2,94;2,4;1,04;0,62;0,27;17,9;10,5;7,98;8,13;7,66
218;25;7,74;8,18;7,21;2,45;4,36;4,01;0,91;1,6;0,94;0,66;19,06;9,12;8,51;6,11;6,3
220;25,5;8,59;7,9;7,9;1,38;3,27;4,27;2,39;2,22;1,68;0,68;24,92;13,89;4,04;5,12;2,68
221;17;6,89;7,54;7,34;1,48;2,66;3,25;3,7;0,89;0,91;0,68;11,46;5,82;5,53;3,64;3,25
225;33;12,13;12,53;11,23;2,31;3,69;5,27;3,58;1,54;0,95;1,05;24,99;12,76;10,63;9,32;5,46
232;43;14,15;13,5;11,24;6,49;5,64;6,77;5,2;2,33;2,02;1,4;29,81;10,66;15,63;13,57;13,4
238;49;18,93;15,67;15,35;3,76;7,43;7,92;3,21;3,92;2,12;0,98;42,84;19,33;12,4;9,26;5,07
242;15;6,3;5,25;5,37;1,83;2,36;3,55;0,32;0,82;0,63;0,38;11,55;4,95;5,26;4,43;3,48
245;21;8,99;9,71;7,14;2,97;3,6;4,92;2,27;1,58;1,18;0,78;14,22;8,24;8,36;4,63;4,17
247;65;18,92;20,91;18,21;10,12;8,84;12,48;4,41;6,09;4,68;1,09;41,97;21,41;20,03;20,86;20,96
248;35;10,76;14,23;12,56;6,48;6,06;6,96;2,67;3,85;2,59;1,44;26,12;13,51;13,4;10,77;13
255;60;22,47;26,74;25,11;10,37;9,4;9,7;3,83;3,42;2,35;2,46;49,03;26,73;26,02;17,4;15,32
256;12,9;5,34;6,84;5,55;1,32;3,19;3,17;1,76;1,31;0,91;0,9;10,05;5,13;4,24;3,82;3,46
262;40;12,84;12,02;10,67;2,48;5,92;7,31;0,3;1,75;1,6;1,13;26,17;15,61;8,08;9,16;11,4
266;14;6,11;8,71;7,15;1,66;4,09;4,09;1,4;1,38;1,14;1,16;12,55;6,46;6;2,43;3,43
268;34;11,36;14,13;9,62;3,92;4,21;7,03;3,25;2,23;1,33;0,99;26,21;8,28;12,14;10,72;11,91
278;48;14,36;18,18;17,15;5,56;7,04;8,49;3,38;2,93;3,08;1,83;32,22;17,52;14,23;11,57;15,53
295;22,5;7,4;7,5;5,62;4,56;4,32;5,85;1,54;3,05;2,47;0,43;15,59;5,86;7;6,33;6,87
298;62;20,89;17,37;16,94;5,98;8,01;9,28;3,19;3,31;2,25;0,97;46,09;21,81;27,56;17,16;15,93
300;62;14,63;17,98;18,9;8,13;10,81;10,45;5,09;4,44;2,69;0,81;40,36;20,01;20,12;18,38;20,13
307;50;12,87;13,2;12,21;3,87;5,47;6,47;3,52;1,67;1,18;1,37;37,36;7,91;8,41;15,4;18,26
323;55;16;13,56;13,37;1,46;6,69;5,74;3,31;2,59;2,43;0,75;43,66;11,87;11,13;19,6;12,89
326;42;15,43;15,36;13,08;6,53;5,65;7,33;4,26;3,22;3,35;1,25;32,58;14,11;14,53;15,27;10,79
331;33;6,15;7,78;6,7;2,87;2,87;4,11;1,47;0,57;0,72;0,93;16,58;6,01;6,1;7,96;14,63
334;22;5,4;6,12;5,78;1,73;2,66;2,55;1,03;1,53;0,6;0,66;12,67;4,92;5,11;7,07;9,84
335;31;12,65;13,36;12,44;5,05;7,04;7,83;2,49;4,94;2,69;1,36;24,3;12,8;14,9;9,8;10,29
339;23;8,4;9,58;6,09;3,26;3,5;3,61;2,9;1,21;0,82;0,48;17,6;9,62;10,28;5,2;5,18
342;11;4,36;4,93;4,71;1,32;1,81;2,44;1,13;0,56;0,54;0,41;8,68;5,37;4,93;2,55;3,55
344;23;6,98;8,51;7,57;2,91;4,46;6,15;1,78;1,35;1,15;0,83;15,85;6,86;7,66;8,24;9,34
348;22;5,55;7,4;3,72;2,22;3,28;5,06;1,38;1,29;1,2;0,32;18,84;4,57;3,96;5,55;2,22
350;31;9,48;11,83;6,94;5,28;4,95;6,19;2,31;2,65;1,55;0,6;23,55;8,88;11,95;8,89;8,42
355;25;7,62;7,95;8,04;1,85;3,4;5,27;1,58;2,17;1,55;0,62;23,7;18,33;3,05;3,38;2,25
357;23;6,47;7,91;6,77;1,59;3,01;3,16;1,42;1,14;0,88;0,49;11,29;5,78;5,02;4,28;8,3
362;30;9,58;10,73;9,73;3,67;3,99;4,95;2,19;1,56;1,36;1,06;18,57;10,03;7,97;10,28;8,87
363;45;10,98;13,63;9,37;5,94;4,31;5,85;1,94;2,89;3,62;0,41;33,41;12,79;10,88;17,41;11,35
367;77;24,17;28,81;28,19;12,75;13,06;14,9;4,54;7,01;3,66;2,07;59,87;21,92;24,54;24,41;27,73
374;70;21,22;23,96;24,77;6,29;7,91;11,97;6,98;2,85;1,86;2,33;45,37;24,18;23,02;24,89;23,2
376;70;18,28;23,74;16,41;13,5;12,71;13,8;5,43;6,45;4,58;1,22;48,5;17,76;24,99;22,95;23,84
383;51;17,75;17,74;16,3;7,28;7,85;8,85;5,24;1,44;1,43;1,55;33,2;18,33;16,83;11,12;17,52
396;18;6,62;6,99;5,48;0,87;2,62;3,79;1,64;0,51;0,64;0,63;13,72;6,06;6,15;6,43;5,03
398;45;11,1;15,5;6,92;3,91;4,69;5,33;3,84;1,19;1,32;0,76;29,22;9,88;9,37;15,31;14,56
405;35;9,51;11,62;8,76;3,96;5,32;6,72;3,28;2,48;1,29;1,45;24,38;8,54;9,94;11,65;9,04
408;19;5,67;8,19;4,95;1,13;2,96;3,97;1,56;0,65;0,74;0,48;13,17;6,97;6,27;4,88;5,36
432;77;19,82;18,16;10,84;12,77;12,27;12,03;5,41;7,26;4,07;1,51;53,51;19,16;20,72;25,33;20,94
433;64;21,31;26,58;19,39;7,05;7,21;9,84;5,81;3,8;2,21;1,43;42,8;16,74;20,89;11,83;17,15
435;13;5,55;6,08;2,8;1,05;2,4;2,46;1,92;0,64;0,59;0,57;9,81;3,13;2,61;4,52;5,16
439;35;12,76;12,69;8,94;2,17;4,2;6,34;3,94;1,27;1,18;1,07;24,52;9,67;7,83;10,16;9,02
449;67;17,68;20,09;15,35;7,93;8,01;9,79;4,65;4,5;4,89;2,15;52,02;15,66;21,64;20,61;24,43
452;20;7,36;6,29;3,61;1,3;2,8;2,76;2,1;1,35;1,27;0,93;14,77;3,61;2,62;6,53;3,78
453;43;12,42;16,07;5,83;3,2;5,4;10,09;3,12;3,35;2,35;1,38;30,22;10,57;7,95;10,94;11,57
462;13;5,37;6,32;4,84;2,17;2,76;2,87;1,19;1,22;0,69;0,9;11,67;5,24;5,78;4,62;4,95
470;27;10,83;13,89;10,48;3,61;4,68;5,66;2,93;1,79;0,84;1,28;22,27;11,8;13,16;5,63;8,74
475;46;14,15;16,04;13,62;4,55;6;8,17;4,15;2,57;2,02;1,48;28,93;11,65;12,03;13,55;12,33
476;20;8,5;10,45;6,01;1,21;2,71;5,52;1,39;2,08;1,27;0,69;14,12;5,78;4,67;3,85;5,28
481;32;8,97;9,68;6,42;5,06;5,63;6,12;2,85;2,45;1,81;0,93;23,1;8,74;11,54;8,68;11,11
483;43;12,37;10,55;8;0,68;2,84;2,66;3,42;0,6;0,49;0,46;28,16;7,8;14,52;13,57;12,63
484;18;5,26;5,95;4,92;1,74;2,96;3,05;0,86;1,18;0,75;0,8;11,9;5,75;5,46;5,24;5,59
496;39;13,09;12,83;9,42;1,38;4,36;5,81;2,38;3,47;2,05;1,1;34,79;10,38;12,27;9,2;10,63
501;31;12,52;12,75;10,69;1,91;4,27;4,37;3,21;2,52;1,62;1,18;24,56;10,97;12,98;8,2;6,82
