"species";"ChestHigh";"ChestLen";"EarLen";"EyeDia";"FrontLeg";"FurThick";"HeadBodyLen";"HeadFron";"HeadHei";"HeadLat";"HindLeg";"ShoulderHeight";"SnoutHei";"SnoutLen";"SnoutWid";"TruffleHei";"TruffleWid";"Weight"
"Ailuropoda_melanoleuca";45,25;64;14,85;2,9;67,6;6;145;37,1;51;53,4;49,4;82,5;24,6;11,5;18,35;5,25;10,5;107,666666666667
"Helarctos_malayanus";34,25;36,55;2,6;1,7;54,55;2;126;31,45;26,45;31,35;46,2;70;18,15;10,4;13;5,55;5,35;57
"Melursus_ursinus";61,2;50,6;18,45;2,4;79,85;7;170;51,25;42,4;44,3;69,95;75;21,1;21,3;18,4;4,45;9,55;103
"Thalarctos_maritimus";60,85;59,3;9,4;3,1;99,35;5;223,75;43,9;36,5;39,25;93,05;145;19,75;20,05;15,55;7,25;10,15;472,5
"Tremarctos_ornatus";46,9;56,85;13;2,95;62,3;6;165,666666666667;30,65;46,65;53,65;65,35;75;19,85;12;15,9;5,6;8,85;125
"Ursus_americanus";45,8;46,7;9,45;1,9;68,6;5;154,666666666667;33,45;33,95;32,15;60,9;86;14,75;12,85;12,55;5,15;5,7;135,333333333333
"Ursus_arctos_arctos";49,5;39,7;8,65;1,85;71,95;7;145;31,7;28,95;31,6;59,9;105;13,9;12,55;11,7;5,15;6,55;237,5
"Ursus_arctos_horribilis";74,7;59,6;8,65;2,05;103,95;7;209,333333333333;44,15;49,5;46,2;94,25;113;18,4;18,3;15,95;7,8;9,55;260
"Ursus_arctos_isabellinus";62,2;48,8;12,2;2,3;93,65;7;170;40,7;40,35;44;75,85;85;17,4;17,9;14,8;7,6;8,15;135,5
"Ursus_arctos_middendorffi";99,45;89,25;14,2;4,25;149,2;7;272;68,35;59,45;65,2;122,95;142,5;28,8;30,45;21,7;11,15;13,95;428,5
"Ursus_thibetanus";49,95;40,8;10;1,75;76,75;5;156,666666666667;36,05;34,3;39,4;65,8;85;14,35;14,85;11;5;7,15;126,666666666667
