"scientific_name";"english";"french";"trait";"sex";"value";"unit";"ref_id";"ref_type";"ref_ref"
"Ailuropoda melanoleuca";"Giant panda";"Panda geant";"HeadBodyLen";"?";"135";"cm";"4";"scientific publication";"Kate E. Jones, Jon Bielby, Marcel Cardillo, Susanne A. Fritz, Justin O'Dell, C.  David L. Orme, Kamran Safi, Wes Sechrest, Elizabeth H. Boakes, Chris  Carbone, Christina Connolly, Michael J. Cutts, Janine K. Foster, Richard Grenyer, Michael Habib, Christopher A. Plaster, Samantha A. Price,  Elizabeth A. Rigby, Janna Rist, Amber Teacher, Olaf R. P.  Bininda-Emonds, John L. Gittleman, Georgina M. Mace, and Andy Purvis.  2009. PanTHERIA: a species-level database of life history, ecology, and  geography of extant and recently extinct mammals. Ecology 90:2648."
"Ailuropoda melanoleuca";"Giant panda";"Panda geant";"HeadBodyLen";"?";"140";"cm";"5";"scientific publication";"Huber D., van Manen F.T. (2019) Bear Morphology. In: Vonk J., Shackelford T. (eds) Encyclopedia of Animal Cognition and Behavior. Springer, Cham"
"Ailuropoda melanoleuca";"Giant panda";"Panda geant";"HeadBodyLen";"?";"160";"cm";"20";"scientific publication";"Shabel, A. (2010). Mammals of the Northern Hemisphere. Cavendish Square."
"Ailuropoda melanoleuca";"Giant panda";"Panda geant";"ShoulderHeight";"?";"75";"cm";"5";"scientific publication";"Huber D., van Manen F.T. (2019) Bear Morphology. In: Vonk J., Shackelford T. (eds) Encyclopedia of Animal Cognition and Behavior. Springer, Cham"
"Ailuropoda melanoleuca";"Giant panda";"Panda geant";"ShoulderHeight";"?";"90";"cm";"20";"scientific publication";"Shabel, A. (2010). Mammals of the Northern Hemisphere. Cavendish Square."
"Ailuropoda melanoleuca";"Giant panda";"Panda geant";"Weight";"?";"118";"kg";"4";"scientific publication";"Kate E. Jones, Jon Bielby, Marcel Cardillo, Susanne A. Fritz, Justin O'Dell, C.  David L. Orme, Kamran Safi, Wes Sechrest, Elizabeth H. Boakes, Chris  Carbone, Christina Connolly, Michael J. Cutts, Janine K. Foster, Richard Grenyer, Michael Habib, Christopher A. Plaster, Samantha A. Price,  Elizabeth A. Rigby, Janna Rist, Amber Teacher, Olaf R. P.  Bininda-Emonds, John L. Gittleman, Georgina M. Mace, and Andy Purvis.  2009. PanTHERIA: a species-level database of life history, ecology, and  geography of extant and recently extinct mammals. Ecology 90:2648."
"Ailuropoda melanoleuca";"Giant panda";"Panda geant";"Weight";"F";"85";"kg";"5";"scientific publication";"Huber D., van Manen F.T. (2019) Bear Morphology. In: Vonk J., Shackelford T. (eds) Encyclopedia of Animal Cognition and Behavior. Springer, Cham"
"Ailuropoda melanoleuca";"Giant panda";"Panda geant";"Weight";"M";"105";"kg";"5";"scientific publication";"Huber D., van Manen F.T. (2019) Bear Morphology. In: Vonk J., Shackelford T. (eds) Encyclopedia of Animal Cognition and Behavior. Springer, Cham"
"Ailuropoda melanoleuca";"Giant panda";"Panda geant";"Weight";"?";"100";"kg";"20";"scientific publication";"Shabel, A. (2010). Mammals of the Northern Hemisphere. Cavendish Square."
"Ailuropoda melanoleuca";"Giant panda";"Panda geant";"FurThick";"?";"6";"NA";"0";"personal observation";NA
